rule_name,description,benchmark,gpt_answer,gpt_configuration
5.3 Camel case: defined,"Sometimes there is more than one reasonable way to convert an English phrase into camel case, such as when acronyms or unusual constructs like ""IPv6"" or ""iOS"" are present. To improve predictability, Google Style specifies the following (nearly) deterministic scheme.
 Beginning with the prose form of the name:
 Convert the phrase to plain ASCII and remove any apostrophes. For example, ""Müller's algorithm"" might become ""Muellers algorithm"". 
 Divide this result into words, splitting on spaces and any remaining punctuation (typically hyphens). 
 Recommended: if any word already has a conventional camel-case appearance in common usage, split this into its constituent parts (e.g., ""AdWords"" becomes ""ad words""). Note that a word such as ""iOS"" is not really in camel case per se ; it defies any convention, so this recommendation does not apply. 
 Now lowercase everything (including acronyms), then uppercase only the first character of: 
 ... each word, to yield upper camel case , or 
 ... each word except the first, to yield lower camel case 
 Finally, join all the words into a single identifier.
 Note that the casing of the original words is almost entirely disregarded. Examples:
 Prose form 
 Correct 
 Incorrect 
 ""XML HTTP request"" 
 `XmlHttpRequest` 
 `XMLHTTPRequest` 
 ""new customer ID"" 
 `newCustomerId` 
 `newCustomerID` 
 ""inner stopwatch"" 
 `innerStopwatch` 
 `innerStopWatch` 
 ""supports IPv6 on iOS?"" 
 `supportsIpv6OnIos` 
 `supportsIPv6OnIOS` 
 ""YouTube importer"" 
 `YouTubeImporter` 
 `YoutubeImporter` *
 *Acceptable, but not recommended.
 Note: Some words are ambiguously hyphenated in the English language: for example ""nonempty"" and ""non-empty"" are both correct, so the method names `checkNonempty` and `checkNonEmpty` are likewise both correct.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""AbbreviationAsWordInName"">
                        <property name=""ignoreFinal"" value=""false""/>
                        <property name=""allowedAbbreviationLength"" value=""0""/>
                        <property name=""tokens"" value=""CLASS_DEF, INTERFACE_DEF, ENUM_DEF, ANNOTATION_DEF, ANNOTATION_FIELD_DEF, PARAMETER_DEF, VARIABLE_DEF, METHOD_DEF, PATTERN_VARIABLE_DEF, RECORD_DEF, RECORD_COMPONENT_DEF""/>
                </module>
        </module>
</module>",Yes,"<module name='Checker'>\n"" +
        ""    
<module name='TreeWalker'>\n"" +
        ""        
<module name='AbbreviationAsWordInName'>\n"" +
        ""            <property name='allowedAbbreviationLength' value='1'/>\n"" +
        ""            <property name='allowedAbbreviations' value='iOS,IPv6,XML,HTTP'/>\n"" +
        ""        </module>\n"" +
        ""        
<module name='LocalVariableName'>\n"" +
        ""            <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>\n"" +
        ""        </module>\n"" +
        ""        
<module name='MemberName'>\n"" +
        ""            <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>\n"" +
        ""        </module>\n"" +
        ""        
<module name='MethodName'>\n"" +
        ""            <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>\n"" +
        ""        </module>\n"" +
        ""        
<module name='ClassName'>\n"" +
        ""            <property name='format' value='^[A-Z][a-zA-Z0-9]*$'/>\n"" +
        ""        </module>\n"" +
        ""        
<module name='InterfaceTypeParameterName'>\n"" +
        ""            <property name='format' value='^[A-Z][a-zA-Z0-9]*$'/>\n"" +
        ""        </module>\n"" +
        ""    </module>\n"" +
        ""</module>"
6.2 Caught exceptions: not ignored,"Except as noted below, it is very rarely correct to do nothing in response to a caught exception. (Typical responses are to log it, or if it is considered ""impossible"", rethrow it as an `AssertionError` .)
 When it truly is appropriate to take no action whatsoever in a catch block, the reason this is justified is explained in a comment.
 try {
  int i = Integer.parseInt(response);
  return handleNumericResponse(i);
 } catch (NumberFormatException ok) {
  // it's not numeric; that's fine, just continue
 }
 return handleTextResponse(response);
 

 Exception: In tests, a caught exception may be ignored without comment if its name is or begins with `expected` . The following is a very common idiom for ensuring that the code under test does throw an exception of the expected type, so a comment is unnecessary here.
 try {
  emptyStack.pop();
  fail();
 } catch (NoSuchElementException expected) {
 }","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""EmptyBlock"">
                        <property name=""option"" value=""TEXT""/>
                        <property name=""tokens"" value=""LITERAL_CATCH""/>
                </module>
        </module>
</module>",Yes,"<module name='EmptyCatchBlock'>
        <property name='exceptionVariableName' value='expected'/>
    </module>"
6.3 Static members: qualified using class,"When a reference to a static class member must be qualified, it is qualified with that class's name, not with a reference or expression of that class's type.
 Foo aFoo = ...;
 Foo.aStaticMethod(); // good
 aFoo.aStaticMethod(); // bad
 somethingThatYieldsAFoo().aStaticMethod(); // very bad",,Yes,"<module name='StaticAccess'>
        <property name='id' value='static.access'/>
        <property name='violationMessage' value='Static member should be accessed using class name.'/>
    </module>"
6.4 Finalizers: not used,"It is extremely rare to override `Object.finalize` .
 Tip: Don't do it. If you absolutely must, first read and understand Effective Java
  
  Item 8 , ""Avoid finalizers and cleaners"" very carefully, and then don't do it.","<module name=""Checker"">
  <module name=""TreeWalker"">
    <module name=""NoFinalizer""/>
  </module>
</module>",Yes,"<module name='NoFinalizer'>
        <property name='id' value='no.finalizer'/>
        <property name='severity' value='error'/>
    </module>"
7.1.1 General form,"The basic formatting of Javadoc blocks is as seen in this example:
 /**
  * Multiple lines of Javadoc text are written here,
  * wrapped normally...
  */
 public int method(String p1) { ... }
 

 ... or in this single-line example:
 /** An especially short bit of Javadoc. */
 

 The basic form is always acceptable. The single-line form may be substituted when the entirety of the Javadoc block (including comment markers) can fit on a single line. Note that this only applies when there are no block tags such as `@return` .","<module name=""Checker"">
  <module name=""TreeWalker"">
    <module name=""SingleLineJavadoc""/>
  </module>
</module>
        ",Yes,"<module name='JavadocStyle'>
        <property name='id' value='JavadocStyle'/>
        <property name='allowSingleLine' value='true'/>
        <property name='checkFirstSentence' value='false'/>
    </module>
    
<module name='SingleLineJavadoc'>
        <property name='id' value='SingleLineJavadoc'/>
        <property name='ignoreInlineTags' value='true'/>
        <property name='ignoreJavadocTags' value='true'/>
    </module>"
7.1.2 Paragraphs,"One blank line—that is, a line containing only the aligned leading asterisk ( `*` )—appears between paragraphs, and before the group of block tags if present. Each paragraph except the first has `<p>` immediately before the first word, with no space after it. HTML tags for other block-level elements, such as `<ul>` or `<table>` , are not preceded with `<p>` .","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""JavadocParagraph""/>
                <module name=""RequireEmptyLineBeforeBlockTagGroup""/>
        </module>
</module>",No
7.1.3 Block tags,"Any of the standard ""block tags"" that are used appear in the order `@param` , `@return` , `@throws` , `@deprecated` , and these four types never appear with an empty description. When a block tag doesn't fit on a single line, continuation lines are indented four (or more) spaces from the position of the `@` .","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""AtclauseOrder"">
                        <property name=""tagOrder"" value=""@param, @return, @throws, @deprecated""/>
                        <property name=""target"" value=""CLASS_DEF, INTERFACE_DEF, ENUM_DEF, METHOD_DEF, CTOR_DEF, VARIABLE_DEF""/>
                </module>
                <module name=""JavadocTagContinuationIndentation"">
                        <property name=""offset"" value=""4""/>
                </module>
                <module name=""NonEmptyAtclauseDescription""/>
        </module>
</module>",Yes,"<module name='JavadocTagOrder'>
        <property name='tagOrder' value='param,return,throws,deprecated'/>
    </module>
    
<module name='JavadocTagContinuationIndentation'>
        <property name='indentation' value='4'/>
    </module>
    
<module name='JavadocTagCheck'>
        <property name='param' value='nonEmpty'/>
        <property name='return' value='nonEmpty'/>
        <property name='throws' value='nonEmpty'/>
        <property name='deprecated' value='nonEmpty'/>
    </module>"
7.2 The summary fragment,"Each Javadoc block begins with a brief summary fragment . This fragment is very important: it is the only part of the text that appears in certain contexts such as class and method indexes.
 This is a fragment—a noun phrase or verb phrase, not a complete sentence. It does not begin with `A{@codeFoo}isa...` , or `Thismethodreturns...` , nor does it form a complete imperative sentence like `Savetherecord.` . However, the fragment is capitalized and punctuated as if it were a complete sentence.
 Tip: A common mistake is to write simple Javadoc in the form `/**@returnthecustomerID*/` . This is incorrect, and should be changed to `/**ReturnsthecustomerID.*/` .","<module name=""Checker"">
	<module name=""TreeWalker"">
		<module name=""SummaryJavadoc"">
			<property name=""forbiddenSummaryFragments"" value=""^@return the *|^This method returns |^A [{]@code [a-zA-Z0-9]+[}]( is a )""/>
		</module>
	</module>
</module>",Yes,"<module name='JavadocStyle'>
        <property name='id' value='JavadocStyle'/>
        <property name='checkFirstSentence' value='true'/>
    </module>
    
<module name='JavadocMethod'>
        <property name='id' value='JavadocMethod'/>
        <property name='allowMissingParamTags' value='true'/>
        <property name='allowMissingReturnTag' value='true'/>
        <property name='allowMissingThrowsTags' value='true'/>
        <property name='allowMissingDeprecatedTag' value='true'/>
    </module>
    
<module name='SummaryJavadoc'>
        <property name='id' value='SummaryJavadoc'/>
        <property name='forbiddenSummaryFragments' value='A{@code Foo} is a..., This method returns..., Save the record.'/>
        <property name='checkCapitalization' value='true'/>
        <property name='checkPunctuation' value='true'/>
    </module>"
7.3 Where Javadoc is used,"At the minimum , Javadoc is present for every `public` class, and every `public` or `protected` member of such a class, with a few exceptions noted below.
 Additional Javadoc content may also be present, as explained in Section 7.3.4, Non-required Javadoc .","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""MissingJavadocType"">
                        <property name=""scope"" value=""public""/>
                        <property name=""tokens"" value=""CLASS_DEF, INTERFACE_DEF, ENUM_DEF, RECORD_DEF, ANNOTATION_DEF""/>
                        <property name=""excludeScope"" value=""nothing""/>
                </module>
                <module name=""MissingJavadocMethod"">
                        <property name=""scope"" value=""protected""/>
                        <property name=""minLineCount"" value=""2""/>
                        <property name=""allowedAnnotations"" value=""Override, Test""/>
                        <property name=""tokens"" value=""METHOD_DEF, CTOR_DEF, ANNOTATION_FIELD_DEF, COMPACT_CTOR_DEF""/>
                </module>
        </module>
</module>",Yes,"<module name='JavadocType'>
        <property name='scope' value='public'/>
        <property name='severity' value='error'/>
    </module>
    
<module name='JavadocMethod'>
        <property name='scope' value='protected'/>
        <property name='severity' value='error'/>
    </module>"
7.3.1 Exception: self-explanatory members,"Javadoc is optional for ""simple, obvious"" members like `getFoo()` , in cases where there really and truly is nothing else worthwhile to say but ""Returns the foo"".
 Important: it is not appropriate to cite this exception to justify omitting relevant information that a typical reader might need to know. For example, for a method named `getCanonicalName` , don't omit its documentation (with the rationale that it would say only `/**Returnsthecanonicalname.*/` ) if a typical reader may have no idea what the term ""canonical name"" means!",,Yes,"<module name='JavadocMethod'>
        <property name='scope' value='public'/>
        <property name='allowMissingJavadoc' value='true'/>
        <property name='allowMissingJavadocForOverriddenMethods' value='true'/>
        <property name='excludeScope' value='private'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>
        <property name='excludeScope' value='package'/>
        <property name='excludeScope' value='public'/>
        <property name='excludeScope' value='protected'/>"
7.3.2 Exception: overrides,Javadoc is not always present on a method that overrides a supertype method.,"<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""MissingJavadocMethod"">
                        <property name=""scope"" value=""protected""/>
                        <property name=""minLineCount"" value=""2""/>
                        <property name=""allowedAnnotations"" value=""Override""/>
                        <property name=""tokens"" value=""METHOD_DEF, CTOR_DEF, ANNOTATION_FIELD_DEF, COMPACT_CTOR_DEF""/>
                </module>
        </module>
</module>",Yes,"<module name='JavadocMethod'>
        <property name='scope' value='public'/>
        <property name='allowMissingJavadoc' value='true'/>
        <property name='allowMissingJavadocOverride' value='true'/>
    </module>"
7.3.4 Non-required Javadoc,"Other classes and members have Javadoc as needed or desired .
 Whenever an implementation comment would be used to define the overall purpose or behavior of a class or member, that comment is written as Javadoc instead (using `/**` ).
 Non-required Javadoc is not strictly required to follow the formatting rules of Sections 7.1.1, 7.1.2, 7.1.3, and 7.2, though it is of course recommended.",,Yes,"<module name='JavadocStyle'>
        <property name='scope' value='public'/>
        <property name='allowMissingJavadoc' value='true'/>
    </module>
    
<module name='JavadocType'>
        <property name='scope' value='public'/>
        <property name='allowMissingJavadoc' value='true'/>
    </module>
    
<module name='JavadocMethod'>
        <property name='scope' value='public'/>
        <property name='allowMissingJavadoc' value='true'/>
    </module>
    
<module name='JavadocVariable'>
        <property name='scope' value='public'/>
        <property name='allowMissingJavadoc' value='true'/>
    </module>"
4.8.5.1 Type-use annotations,"Type-use annotations appear immediately before the annotated type. An annotation is a type-use annotation if it is meta-annotated with @Target(ElementType.TYPE_USE). Example:
 final @Nullable String name;
 

 public @Nullable Person getPersonByName(String name);",,No
4.8.5.2 Class annotations,"Annotations applying to a class appear immediately after the documentation block, and each annotation is listed on a line of its own (that is, one annotation per line). These line breaks do not constitute line-wrapping (Section 4.5, Line-wrapping), so the indentation level is not increased. Example:
 @Deprecated
 @CheckReturnValue
 public final class Frozzler { ... }","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""AnnotationLocation"">
                        <property name=""id"" value=""AnnotationClass""/>
                        <property name=""tokens"" value=""CLASS_DEF""/>
                        <property name=""allowSamelineSingleParameterlessAnnotation"" value=""false""/>
                        <property name=""allowSamelineParameterizedAnnotation"" value=""false""/>
                        <property name=""allowSamelineMultipleAnnotations"" value=""false""/>
                </module>
        </module>
</module>",Yes,"<module name='AnnotationLocation'>
        <property name='id' value='ClassAnnotationLocation'/>
        <property name='tokens' value='CLASS_DEF'/>
        <property name='allowSamelineMultipleAnnotations' value='false'/>
    </module>
    
<module name='SingleLineJavadoc'>
        <property name='id' value='ClassAnnotationJavadoc'/>
        <property name='tokens' value='CLASS_DEF'/>
    </module>"
4.8.5.3 Method and constructor annotations,"The rules for annotations on method and constructor declarations are the same as the previous section. Example:
 @Deprecated
 @Override
 public String getNameIfPresent() { ... }
 Exception: A single parameterless annotation may instead appear together with the first line of the signature, for example:
 @Override public int hashCode() { ... }","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""AnnotationLocation"">
                        <property name=""id"" value=""AnnotationLocationMethodCtor""/>
                        <property name=""tokens"" value=""METHOD_DEF, CTOR_DEF""/>
                        <property name=""allowSamelineSingleParameterlessAnnotation"" value=""true""/>
                        <property name=""allowSamelineParameterizedAnnotation"" value=""false""/>
                        <property name=""allowSamelineMultipleAnnotations"" value=""false""/>
                </module>
        </module>
</module>",Yes,"<module name='AnnotationLocation'>
        <property name='id' value='AnnotationLocation'/>
        <property name='allowSamelineSingleParameterless' value='true'/>
    </module>
    
<module name='MethodAnnotation'>
        <property name='id' value='MethodAnnotation'/>
        <property name='allowSamelineSingleParameterless' value='true'/>
    </module>"
4.8.5.4 Field annotations,"Annotations applying to a field also appear immediately after the documentation block, but in this case, multiple annotations (possibly parameterized) may be listed on the same line; for example:
 @Partial @Mock DataLoader loader;","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""AnnotationLocation"">
                        <property name=""id"" value=""AnnotationLocationVariables""/>
                        <property name=""tokens"" value=""VARIABLE_DEF""/>
            <property name=""allowSamelineMultipleAnnotations"" value=""true""/>
 <property name=""allowSamelineParameterizedAnnotation"" value=""true""/>
 <property name=""allowSamelineSingleParameterlessAnnotation"" value=""true""/> 
                </module>
        </module>
</module>",No
4.8.5.5 Parameter and local variable annotations,"There are no specific rules for formatting annotations on parameters or local variables (except, of course, when the annotation is a type-use annotation).",,No
3.4.2.1 Overloads: never split,Methods of a class that share the same name appear in a single contiguous group with no other members in between. The same applies to multiple constructors (which always have the same name). This rule applies even when modifiers such as static or private differ between the methods.,"<module name=""Checker"">
  <module name=""TreeWalker"">
    <module name=""OverloadMethodsDeclarationOrder""/>
  </module>
</module>",No
4.8.2.1 One variable per declaration,"Every variable declaration (field or local) declares only one variable: declarations such as int a, b; are not used.
 Exception: Multiple variable declarations are acceptable in the header of a for loop.","<module name=""Checker"">
  <module name=""TreeWalker"">
    <module name=""MultipleVariableDeclarations""/>
  </module>
</module>
        ",Yes,"<module name='MultipleVariableDeclarations'>
        <property name='tokens' value='VARIABLE_DEF'/>
        <property name='ignoreForLoop' value='true'/>
    </module>"
